text,transliterated,translated_text
പാട്ടിൽ ഉണ്ണി അച്യുത് സുദേവ് ഒക്കെ ഒരു ദുരൂഹത ആണല്ലോ,പാട്ടിൽ ഉണ്ണി അച്യുത് സുദേവ് ഒക്കെ ഒരു ദുരൂഹത ആണല്ലോ,Unni Achyuth Sudev is a mystery in the song.
padam veruthe poliyanu njn ethuvare kandathil vechu ettavum poli padam ethanu oru kutavum parayanilla youthanmaraya njagalku sherikkum eshtyi polipadam onnukoodi nale kanunund,പദമ് വേരുഥേ പോലിയനു ന്ജ്ന് ഏഥുവരേ കന്ദഥില് വേചു ഏത്തവുമ് പോലി പദമ് ഏഥനു ഓരു കുതവുമ് പരയനില്ല യോഉഥന്മരയ ന്ജഗല്കു ശേരിക്കുമ് ഏശ്ത്യി പോലിപദമ് ഓന്നുകൂദി നലേ കനുനുന്ദ്,Padam veruthe poliyanu njun ethuvare kandathil vechu etha and poli padam ethanu oru kuthaum parayanilla yuthanmaraya njagalku sherikum ashtiyi polipadam onnukoodi nale kanunund
tiyaan kammara sambhavam lucifer lallettan fance like here,തിയാന് കമ്മര സമ്ഭവമ് ലുചിfേര് ലല്ലേത്തന് fന്ചേ ലികേ ഹേരേ,Thiyan Kammara Sambhavam Lucifer Lallathan Fanche Like Here
love from utter pradesh mohan sir,ലോവേ f്രോമ് ഉത്തേര് പ്രദേശ് മോഹന് സിര്,Lowe from Utter Pradesh Mohan Sir
1 7m views 177k likes triple strongg,൧ ൭മ് വിഏവ്സ് ൧൭൭ക് ലികേസ് ത്രിപ്ലേ സ്ത്രോന്ഗ്ഗ്,1st Vivesque leakage triple play strong
tickets edukkan chaver akendi varoonna thonnunne,തിച്കേത്സ് ഏദുക്കന് ചവേര് അകേന്ദി വരൂന്ന ഥോന്നുന്നേ,Tichkates Edukkan Chaver Aakendi is coming soon.
nammal ettan fanzz strong aanu athu angott kanichu kodukk haters okke odikko ettan lovers like comment,നമ്മല് ഏത്തന് fന്z്z് സ്ത്രോന്ഗ് ആനു അഥു അന്ഗോത്ത് കനിചു കോദുക്ക് ഹതേര്സ് ഓക്കേ ഓദിക്കോ ഏത്തന് ലോവേര്സ് ലികേ ചോമ്മേന്ത്,Nammal ettan fngz strong annu aathu angothu kanichu koduk hooters ok audiko ettan lowers likhe chommenthu
eppolum expectation koodumbol film palapozhum flop aavara pathivu trailer athrm nallathalangilum film adipowli aayrikumnnu vicharikunnu,ഏപ്പോലുമ് ഏക്ഷ്പേച്തതിഓന് കൂദുമ്ബോല് fില്മ് പലപോഴുമ് f്ലോപ് ആവര പഥിവു ത്രൈലേര് അഥ്ര്മ് നല്ലഥലന്ഗിലുമ് fില്മ് അദിപോവ്ലി ആയ്രികുമ്ന്നു വിചരികുന്നു,"At any rate, Ekspekthathiyon should be considered as a film like Koodumbu, Palapolum, Flop, Avar Pathivu, Thriller, Athram, Nallathalangilum, and Adipowli."
ikkante makkal onnu like adichu poyee,ഇക്കന്തേ മക്കല് ഓന്നു ലികേ അദിചു പോയീ,Ikkante makkal onnu likhe aadichu goye
trailer thanne 100 vattam kaanan thonna padam poliyaanu appo,ത്രൈലേര് ഥന്നേ ൧൦൦ വത്തമ് കാനന് ഥോന്ന പദമ് പോലിയാനു അപ്പോ,Triller Thene 100 Vathum Kannan Thonnum Padam Poliyanu Apo
vineeth sreenivasan chetante cinema aano nkil padam kiduvarikkum,വിനീഥ് സ്രീനിവസന് ചേതന്തേ ചിനേമ ആനോ ന്കില് പദമ് കിദുവരിക്കുമ്,Vineeth Sreenivasan to produce Chettante Cinema Anokil Padam
onume puriyala but song alluthu ji aiyooooooooooooooo super super kodaiyithu apdiye manasa,ഓനുമേ പുരിയല ബുത് സോന്ഗ് അല്ലുഥു ജി ഐയൂഊഊഊഊഊഊഓ സുപേര് സുപേര് കോദൈയിഥു അപ്ദിയേ മനസ,Onume puriyala buth song alluthu jee iuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu.
pakka poli nigal entha manasilakiknath keraliyar k buthiyillalae thani thedrit pakka fillm thani poli film,പക്ക പോലി നിഗല് ഏന്ഥ മനസിലകിക്നഥ് കേരലിയര് ക് ബുഥിയില്ലലഏ ഥനി ഥേദ്രിത് പക്ക fില്ല്മ് ഥനി പോലി fില്മ്,Pakka Poli Nigel Antha Manasilakiknath Keraliyar Ka Buthiyillalaeye Thani Thedrith Pakka Film Thani Poli Film
samajh mein nahi aaya lekin dekha ke atcha laga,സമഝ് മേഇന് നഹി ആയ ലേകിന് ദേഖ കേ അത്ച ലഗ,Samjh mein nahi aaya lekin dekha ke atcha laga.
face of indian cinema mega mammokka,fചേ ഓf് ഇന്ദിഅന് ചിനേമ മേഗ മമ്മോക്ക,FACE OF INDIAN CINEMA MEGA MAMMOKA
adth psycho vendi katta waiting,അദ്ഥ് പ്സ്യ്ചോ വേന്ദി കത്ത വൈതിന്ഗ്,Adth psycho vendi katha vaithing
prithvi lalettan bgm any idea guyzz,പ്രിഥ്വി ലലേത്തന് ബ്ഗ്മ് അന്യ് ഇദേഅ ഗുയ്z്z്,Prithvi lalethan bagm aan idhe aa guise
this film is gonna b another turning point in jojus career ജോജുവിന്റെ അഭിനയ ജീവിതത്തിലെ അടുത്ത നാഴികക്കല്ല്,ഥിസ് fില്മ് ഇസ് ഗോന്ന ബ് അനോഥേര് തുര്നിന്ഗ് പോഇന്ത് ഇന് ജോജുസ് ചരീര് ജോജുവിന്റെ അഭിനയ ജീവിതത്തിലെ അടുത്ത നാഴികക്കല്ല്,THIS FILM IS GONNA B ANOTHER TURNING POINT IN JOJUS CHARIOR The next milestone in Joju's acting career
കാലങ്ങൾക്ക് ശേഷം മലയാള സിനിമ കുട്ടികൾ എന്ന വിഭാഗക്കാരെ കുറിച്ചു ഓർമ്മിച്ചിരിക്കുന്നു ഈ ചിത്രം കുട്ടികളുടെ ക്രിസ്തുമസ് അവധി അടിപൊളി ആക്കട്ടെ ആശംസകൾ,കാലങ്ങൾക്ക് ശേഷം മലയാള സിനിമ കുട്ടികൾ എന്ന വിഭാഗക്കാരെ കുറിച്ചു ഓർമ്മിച്ചിരിക്കുന്നു ഈ ചിത്രം കുട്ടികളുടെ ക്രിസ്തുമസ് അവധി അടിപൊളി ആക്കട്ടെ ആശംസകൾ,"After a long time, Malayalam cinema has remembered the children."
watch orevidhi malayalam shortfilm,വത്ച് ഓരേവിധി മലയലമ് ശോര്ത്fില്മ്,Vatch Ore Vidhi Malayalam Short Film
ഒരു നല്ലൊരു ട്രെയ്ലറിനെ എഡിറ്റ് ചെയ്തു കുളമാക്കി പിന്നെ ഇതിലുപോയോഗിച്ച ഫോണ്ടിങ്ങും ശെരിയല്ല,ഒരു നല്ലൊരു ട്രെയ്ലറിനെ എഡിറ്റ് ചെയ്തു കുളമാക്കി പിന്നെ ഇതിലുപോയോഗിച്ച ഫോണ്ടിങ്ങും ശെരിയല്ല,A good trailer was edited and made into a pool and the font used in this is also not good.
ഇട്ടിച്ചനെ കണ്ടിട് ട്രയ്ലർ കാണാൻ വന്നവർക്ക് ലൈക് adikam ഒരു 100 likeenkilum കിട്ടുവോ,ഇട്ടിച്ചനെ കണ്ടിട് ട്രയ്ലർ കാണാൻ വന്നവർക്ക് ലൈക് അദികമ് ഒരു ൧൦൦ ലികീന്കിലുമ് കിട്ടുവോ,"For those who have come to watch the trailer of Ittichan Kannidu, can they get a 100 likes?"
bigbrother ന്റെ അർത്ഥം വല്ല്യേട്ടൻ എന്നല്ലേ,ബിഗ്ബ്രോഥേര് ന്റെ അർത്ഥം വല്ല്യേട്ടൻ എന്നല്ലേ,Doesn't Bigbrother mean Valliyettan?
katta lallettan fana ennalum trailer kollam variety ayitund nice bgm,കത്ത ലല്ലേത്തന് fന ഏന്നലുമ് ത്രൈലേര് കോല്ലമ് വരിഏത്യ് അയിതുന്ദ് നിചേ ബ്ഗ്മ്,Katha Lallettan fna ennalum thriller Kollam Variyathey ayithundh neeche bagam
ഈ വീഡിയോ താഴെ കമന്റ് ചെയ്യുന്ന എല്ലാ കൂട്ടുകാരോടും ഞാനും യൂട്യൂബിൽ വീഡിയോസ് ഇടുന്നുണ്ട് സമയമുണ്ടെങ്കിൽ വീഡിയോസ് കണ്ടു നോക്കണം ഇഷ്ടപ്പെട്ടാൽ മാത്രം സപ്പോർട്ട് ചെയ്യണം ഓണം,ഈ വീഡിയോ താഴെ കമന്റ് ചെയ്യുന്ന എല്ലാ കൂട്ടുകാരോടും ഞാനും യൂട്യൂബിൽ വീഡിയോസ് ഇടുന്നുണ്ട് സമയമുണ്ടെങ്കിൽ വീഡിയോസ് കണ്ടു നോക്കണം ഇഷ്ടപ്പെട്ടാൽ മാത്രം സപ്പോർട്ട് ചെയ്യണം ഓണം,"I am also posting videos on YouTube for all the friends who are commenting below this video. If you have time, watch the videos and support only if you like them."
ഇതൊന്നും നമ്മള് പ്രോത്സാഹിപ്പിക്കില്ല ഇക്കാ ശെരിയല്ലെങ്കിൽ ഇക്കയായാലും തിരുത്തണം,ഇതൊന്നും നമ്മള് പ്രോത്സാഹിപ്പിക്കില്ല ഇക്കാ ശെരിയല്ലെങ്കിൽ ഇക്കയായാലും തിരുത്തണം,"We don't encourage any of this. If it's not good, it should be corrected."
urutam sounded a bit funny korachum koode punch avarunnu still super movie villain njerichu super,ഉരുതമ് സോഉന്ദേദ് അ ബിത് fുന്ന്യ് കോരചുമ് കൂദേ പുന്ച് അവരുന്നു സ്തില്ല് സുപേര് മോവിഏ വില്ലൈന് ന്ജേരിചു സുപേര്,Urutham Soonded Abit Funny Koruchum Koode Punch Avunnu Still Supeer Moviye Villain Njerichu Supeer
realistic padam kandu maduthu eni korachu mass aakam,രേഅലിസ്തിച് പദമ് കന്ദു മദുഥു ഏനി കോരചു മസ്സ് ആകമ്,Realistic term kandu maduthu eni korachu mass akam
ഏട്ടന്റെ ബിഗ് ബ്രദറിന് കുഞ്ഞിക്ക ഫാൻസിന്റെ വിജയാശംസകൾ,ഏട്ടന്റെ ബിഗ് ബ്രദറിന് കുഞ്ഞിക്ക ഫാൻസിന്റെ വിജയാശംസകൾ,Kunjika Fans Wishes Ettan's Big Brother Success
ikka oru rakshaumilla ithe kalakkum raja da,ഇക്ക ഓരു രക്ശൌമില്ല ഇഥേ കലക്കുമ് രജ ദ,Ika oru rakshouma illa ithe milakkum rajya tha.
അജയ് വാസുദേവ് എന്റെയൊക്കെ ഗണത്തിൽ പെടുന്ന ഒരു ഫാൻ ആണ് വേറെ ആരേലും ഉണ്ടോ ഈ ഗണത്തിൽ,അജയ് വാസുദേവ് എന്റെയൊക്കെ ഗണത്തിൽ പെടുന്ന ഒരു ഫാൻ ആണ് വേറെ ആരേലും ഉണ്ടോ ഈ ഗണത്തിൽ,ajay vasudev is a fan of mine and is there anyone else in this group
pulimurukan chaya kachiyathu pole thonniyathu enikku mathramano,പുലിമുരുകന് ചയ കചിയഥു പോലേ ഥോന്നിയഥു ഏനിക്കു മഥ്രമനോ,Pulimurugan Chaya Kachiyathu Pole Thonniyathu Enikku Mathramano
100k likes in 1 hr,൧൦൦ക് ലികേസ് ഇന് ൧ ഹ്ര്,100k leaks in 1hrs
maduraraja enna comedy padam 300kodi varum,മദുരരജ ഏന്ന ചോമേദ്യ് പദമ് ൩൦൦കോദി വരുമ്,The Chomedya word for Madura Rāja comes from Āramkodi.
17k views in 1hr 10k cmnts,൧൭ക് വിഏവ്സ് ഇന് ൧ഹ്ര് ൧൦ക് ച്മ്ന്ത്സ്,High Vives in 1hr 10mins
